12,13,36,37,60,61,84,85,108,109,132,133,156,157,180
11,14,35,38,59,62,83,86,107,110,131,134,155,158,179
10,15,34,39,58,63,82,87,106,111,130,135,154,159,178
9,16,33,40,57,64,81,88,105,112,129,136,153,160,177
8,17,32,41,56,65,80,89,104,113,128,137,152,161,176
7,18,31,42,55,66,79,90,103,114,127,138,151,162,175
6,19,30,43,54,67,78,91,102,115,126,139,150,163,174
5,20,29,44,53,68,77,92,101,116,125,140,149,164,173
4,21,28,45,52,69,76,93,100,117,124,141,148,165,172
3,22,27,46,51,70,75,94,99,118,123,142,147,166,171
2,23,26,47,50,71,74,95,98,119,122,143,146,167,170
1,24,25,48,49,72,73,96,97,120,121,144,145,168,169
