Plot,Block,Row,Range,Weight,Height,Maturity,Yield,TuberSet
1,1,1,1,4.25,21,4,445.8839478,9.733333333
2,1,2,1,5.33,14.5,5,475.9908522,9.133333333
3,1,3,1,3.76,37.5,5,468.1626783,12.2
4,1,4,1,3.99,12.5,4,341.1316174,8.733333333
5,1,5,1,6.79,25.5,3,532.006487,8.2
6,1,6,1,3.985,19.5,4,404.5939379,9.714285714
7,1,7,1,4.7,14,5,533.6920696,10.46666667
8,1,8,1,5.42,17.5,5,432.3298435,8.333333333
9,1,9,1,2.885,43.5,6,652.0616348,21
